PlaceHolderCode;Description;Availability
{link};"Direct
link
to
the
job
identifications
Tab";Test
{seal.link};"Direct
link
to
the
job
identifications
Tab";Only SSO
{link.files.pdf};"Direct
link
to
Files/latest
Pdf";
{seal.files.pdf};"Direct
link
to
Files/latest
Pdf";Only SSO
{link.files.doc};"Direct
link
to
Files/Documents";
{seal.files.doc};"Direct
link
to
Files/Documents";Only SSO
{seal.files.wec};"Direct
link
to
Files/Webcenter";Only SSO
{link.job.apl};"Direct
link
to
the
„
Approval
Workflow
“Tab";
{seal.job.apl};"Direct
link
to
the
„
Approval
Workflow
“Tab";Only SSO
{seal.home};"Direct
link
to
the
home
page
(My
Tasks)";Only SSO
{annotations};"Webcenter
Annotations
will
be
auto
filled
in
the
Email";
{to.firstname};"First
name
of
the
receiver";
"{to.lastname}
";"First
name
of
the
receiver";
{from.firstname};"First
name
of
the
sender";
{from.anrede};;
{from.email};
{from.phone};
{usr.incopy};"to
show
the
list
of
the
usernames
in
the
group
that
I
member
of,
and
they
also
received
this
email"
{deeplink.files.doc};This place holder will generate a deeplink for download files, for each file under the doc folder for this job
{deeplink.files.pdf};This place holder will generate a deeplink for download files, for each file under the PDF folder for this job
{deeplink.files.wec};This place holder will generate a deeplink for download of the latest pdf in the WC